n_estimators,learning_rate,max_depth,min_child_weight,gamma,subsample,colsample_bytree,reg_alpha,reg_lambda,objective,eval_metric,random_state,verbosity,Score
175,0.027642393688135182,6,9.75543941211339,0.2237352633899033,0.6039162175466287,0.563318664605364,1.7523915377227508,1.135685800253681,reg:squarederror,rmse,42,0,0.44816744138000875
155,0.02190550755812027,4,4.272084469659695,0.10054474336841235,0.8481155910036171,0.5220520734885711,1.5236301771102423,1.565009765453315,reg:squarederror,rmse,42,0,0.4376381956737898
185,0.04914843608685856,5,9.055931410293084,0.3007030256913772,0.6690542465782714,0.5425373485639752,1.3590647847886623,1.225554284300503,reg:squarederror,rmse,42,0,0.44797323147738
176,0.032920065760216555,6,9.299252253653098,0.12336866123837709,0.8662436525890065,0.538812253265322,1.8412397630696928,1.0578263444205624,reg:squarederror,rmse,42,0,0.44493393582150065
181,0.038037046021918805,6,9.810929629681779,0.16319323996505197,0.8329180959707572,0.5278343542011302,1.8914666776404958,0.9835458990360582,reg:squarederror,rmse,42,0,0.4470045020114325
168,0.03191484737428057,6,9.386040464666216,0.1174250258991534,0.8192930498400626,0.5715282179722516,1.6002784044912486,1.4936368934148283,reg:squarederror,rmse,42,0,0.445477420506479
190,0.03470342478386254,6,9.185073192188735,0.07145141608736125,0.7619650403918632,0.5983333328336882,1.742430325929361,1.0902125813507986,reg:squarederror,rmse,42,0,0.4515817705106507
164,0.04455960746323123,3,8.743064805178202,0.2609629341674845,0.8031636756752402,0.5129455857957758,1.9919534527983018,1.281551682505442,reg:squarederror,rmse,42,0,0.444621236162551
194,0.041199417036502435,6,9.958447632680702,0.14596938109349092,0.8245483061058878,0.5588017791401719,1.9164038539464299,1.0452963190073588,reg:squarederror,rmse,42,0,0.4538382527477965
192,0.041818984510920094,5,9.871965454197618,0.1477166721477392,0.7008463269733772,0.5549847500694733,1.6865103549791303,1.1350518105650254,reg:squarederror,rmse,42,0,0.45181269207716673
195,0.0388824218394145,7,9.565363100812528,0.1932153963462472,0.6825984510064255,0.6132959686732238,1.8168619305461784,0.8183749003720989,reg:squarederror,rmse,42,0,0.44987422508492675
187,0.05579925257294953,5,9.76211523108401,0.15748290525711311,0.856054622803923,0.5475740002462013,1.6406863151698567,0.8814740657509313,reg:squarederror,rmse,42,0,0.44287888016948534
171,0.03594529711978774,3,6.938897874761325,0.21490627226228237,0.787141101764601,0.5646787755015762,1.458762672397453,1.019238844298683,reg:squarederror,rmse,42,0,0.45013331698011605
179,0.03336320806770935,6,9.996701055726462,0.0978350060959643,0.8186013424689392,0.5332305642568754,1.933301530446049,1.2249421788907222,reg:squarederror,rmse,42,0,0.45164144507927445
184,0.03046259407259886,6,9.469388395429192,0.11183536088652282,0.8323967137339126,0.5801471486061648,1.910367218421494,1.0493681467615938,reg:squarederror,rmse,42,0,0.4527992054867416
183,0.03113914225835029,6,9.554777381481346,0.13862465202208984,0.7495888912210762,0.5866141373383124,1.792344789369774,1.3200335902393092,reg:squarederror,rmse,42,0,0.4545617747818079
197,0.031029849834819354,6,9.476862620606251,0.12927037662140348,0.7282634010901242,0.6047293079464148,1.5677889889249133,1.3140386578268555,reg:squarederror,rmse,42,0,0.4492599298503606
183,0.03762870729918438,6,5.322984713102808,0.13991965556619246,0.888953098007524,0.5808523952565239,1.9489470792521322,1.391637365729702,reg:squarederror,rmse,42,0,0.44311041608628177
186,0.04643063066275626,6,9.00299310905692,0.07695888702333858,0.754981776050049,0.5785837837361356,1.868918422605605,1.467874336026099,reg:squarederror,rmse,42,0,0.45180361084097226
193,0.040527088336207204,6,9.651392785843672,0.04342276046627755,0.746139963863602,0.5582703068226117,1.69077670940816,0.9209132249653509,reg:squarederror,rmse,42,0,0.4545046988439738
193,0.040987071120558737,6,8.276115835766767,0.03578410337312324,0.7390148441450132,0.5918621976041751,1.7003504148147333,0.9293247708445946,reg:squarederror,rmse,42,0,0.4493885412109563
189,0.04384963715143364,7,8.726208751435966,0.019461237139498933,0.7497817183324343,0.6206194605028351,1.7516430028692154,1.0511886635963332,reg:squarederror,rmse,42,0,0.4499747195562911
